numprocesso;ano;modalidade;situacao;objeto;orgao;criteriojulgamento;valor_estimado;valor_ou_desconto_homologado;dataabertura;datahomologacao;arquivo;objeto_normalizado;proporcao_homologado_estimado;flag_sobrepreco;lead_time_dias;ano_abertura;volume_licitacoes_orgao_ano;orgao_norm;municipio_extraido;populacao;idhm;categoria_objeto;score_anomalia;score_if;score_lof;classificacao;flag_anomalia;driver_principal;z_score_driver;tipo_anomalia;driver_contexto;valor_estimado_fmt;valor_homol_fmt;proporcao_fmt;lead_time_fmt
74;2021;Pregão Eletrônico;Homologado;HORTIFRUTIGRANJEIROS PARA CURITIBA, REGIÃO METROPOLITANA E LITORAL;DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM);Maior Desconto;188951845.0;9.0;2021-04-23;2021-05-06;TB_LICITACOES-2021.csv;hortifrutigranjeiros para curitiba, região metropolitana e litoral;4.763118349016386e-08;False;13.0;2021;245;decon-departamento de logistica para contratacoes publicas (antigo deam);;;;alimentacao;0.3164726589330755;0.5073979642104813;0.03008470101696674;Suspeita Moderada;True;desconto_pct;2.94;Desconto Atípico;desconto de 100%;R$ 188,951,845;R$ 9;0.00×;13 dias
983;2022;Pregão Eletrônico;Homologado;Contratação da empresa para serviço de Controle integrado de Vetores Pragas Urbanas e Similares para atender a Unioeste  Campus de Cascavel;UNIOESTE CASC-Universidade Estadual do Oeste do Paraná - Campus Cascavel;Menor Preço;9197968.0;2387934.0;2022-07-04;2022-07-06;TB_LICITACOES-2022.csv;contratação da empresa para serviço de controle integrado de vetores pragas urbanas e similares para atender a unioeste campus de cascavel;0.25961538461538464;False;2.0;2022;35;unioeste casc-universidade estadual do oeste do parana - campus cascavel;Cascavel;368195.0;0.713;outros;0.3164396141806898;0.5106481365426564;0.025126830637739836;Suspeita Moderada;True;gasto_per_capita_log1p;3.26;Gasto per Capita Atípico;gasto per capita muito alto;R$ 9,197,968;R$ 2,387,934;0.26×;2 dias
20;2023;Concorrência Pública;Homologado;Contratação Integrada de empresa para elaboração dos Projetos Básico e Executivo de engenharia e execução das obras de restauração em Whitetopping na PRC-280, no trecho entre o trevo de acesso leste de Palmas até Clevelândia, numa extensão de 45,00 km.;DER-Departamento de Estradas de Rodagem do Estado do Paraná;Menor Preço;100.0;18825000000.0;2023-07-04;2023-08-10;TB_LICITACOES-2023.csv;contratação integrada de empresa para elaboração dos projetos básico e executivo de engenharia e execução das obras de restauração em whitetopping na prc-280, no trecho entre o trevo de acesso leste de palmas até clevelândia, numa extensão de 45,00 km.;;False;37.0;2023;66;der-departamento de estradas de rodagem do estado do parana;;;;obras;0.3163710280071948;0.5069369070326027;0.0305222094690829;Suspeita Moderada;True;valor_estimado_log1p;4.84;Valor Estimado Atípico;R$ 100 estimado;R$ 100;R$ 18,825,000,000;—;37 dias
432;2023;Pregão Eletrônico;Homologado;AQUISIÇÃO DE MEDICAMENTOS GENÉRICOS DA LINHA FARMA;UEM-Universidade Estadual de Maringá;Menor Preço;7991108.0;960882.0;2023-03-27;2023-05-25;TB_LICITACOES-2023.csv;aquisição de medicamentos genéricos da linha farma;0.12024390109606828;False;59.0;2023;121;uem-universidade estadual de maringa;Maringá;429660.0;0.681;saude;0.316229552310036;0.4957530914540099;0.04694424359407522;Suspeita Moderada;True;gasto_per_capita_log1p;2.98;Gasto per Capita Atípico;gasto per capita muito alto;R$ 7,991,108;R$ 960,882;0.12×;59 dias
274;2023;Pregão Eletrônico;Homologado;CONTRATAÇÃO DE FORNECIMENTO PARCELADO DE MEDICAMENTOS DIVERSOS PARA ATENDER O HOSPITAL UNIVERSITÁRIO DE LONDRINA, PELO PERÍODO DE 12  MESES;UEL-Universidade Estadual de Londrina;Menor Preço;50868250.0;14081550.0;2023-03-21;2023-05-04;TB_LICITACOES-2023.csv;contratação de fornecimento parcelado de medicamentos diversos para atender o hospital universitário de londrina, pelo período de 12 meses;0.2768239520722651;False;44.0;2023;377;uel-universidade estadual de londrina;Londrina;581382.0;0.725;saude;0.3161733430613038;0.49599656896568717;0.046438504204728746;Suspeita Moderada;True;gasto_per_capita_log1p;4.48;Gasto per Capita Atípico;gasto per capita muito alto;R$ 50,868,250;R$ 14,081,550;0.28×;44 dias
14;2020;Concorrência Pública;Cancelado;Contratação de empresa especializada, para prestação de serviços, pelo período de 12 (doze) meses para a execução do Projeto Karatê nas Unidades Socioeducativas  - Projeto Piá Bom de Karatê  oferta de aulas práticas, com intervenções teóricas, presenciais de Karatê, para adolescentes que cumprem Medida Socioeducativa de Internação, Internação Provisória e Semiliberdade em Centros de Socioeducação e Casas de Semiliberdade do Estado do Paraná, com fornecimento de materiais, equipamentos e insumos diversos para realização das aulas e eventos extras, de acordo com as especificações contidas no Projeto Técnico, em 03 (três) lotes para atender a Secretaria de Estado da Justiça, Família e Trabalho - SEJUF.;SEJU-Secretaria de Estado da Justiça e Cidadania (Antigo SEJUF);Menor Preço;97700673.0;;2020-04-07;;TB_LICITACOES-2020.csv;contratação de empresa especializada, para prestação de serviços, pelo período de 12 (doze) meses para a execução do projeto karatê nas unidades socioeducativas - projeto piá bom de karatê  oferta de aulas práticas, com intervenções teóricas, presenciais de karatê, para adolescentes que cumprem medida socioeducativa de internação, internação provisória e semiliberdade em centros de socioeducação e casas de semiliberdade do estado do paraná, com fornecimento de materiais, equipamentos e insumos diversos para realização das aulas e eventos extras, de acordo com as especificações contidas no projeto técnico, em 03 (três) lotes para atender a secretaria de estado da justiça, família e trabalho - sejuf.;;False;;2020;21;seju-secretaria de estado da justica e cidadania (antigo sejuf);;;;educacao;0.3161712973920888;0.5152054458140221;0.01762007475918903;Suspeita Moderada;True;lead_time_log1p;1.92;Prazo Processual Atípico;prazo atípico;R$ 97,700,673;—;—;—
69;2025;Licitação Eletrônica - Estatal;Homologado;Contratação de serviço de formação de redes privativas, para provimento de comunicação PONTO-A-PONTO - LAN-TO-LAN, redundante, para o prédio Sede da Cohapar em Curitiba/PR e links MULTIPROTOCOL LABEL SWITCHING - MPLS- para os Escritórios Regionais da Cohapar no interior do Estado do Paraná. LOTE ÚNICO.;COHAPAR-Companhia de Habitação do Paraná;Menor Preço;355427820.0;34139820.0;2025-09-22;2025-10-09;TB_LICITACOES-2025.csv;contratação de serviço de formação de redes privativas, para provimento de comunicação ponto-a-ponto - lan-to-lan, redundante, para o prédio sede da cohapar em curitiba/pr e links multiprotocol label switching - mpls- para os escritórios regionais da cohapar no interior do estado do paraná. lote único.;0.09605275130123467;False;17.0;2025;38;cohapar-companhia de habitacao do parana;;;;comunicacao;0.3161683708081791;0.4932070715067962;0.05061031976025346;Suspeita Moderada;True;desconto_pct;2.64;Desconto Atípico;desconto de 90%;R$ 355,427,820;R$ 34,139,820;0.10×;17 dias
2320;2022;Pregão Eletrônico;Homologado;material de manutenção;UNIOESTE FOZ-Universidade Estadual do Oeste do Paraná - Campus Foz do Iguaçu;Menor Preço;975100.0;975100.0;2022-12-02;2022-12-02;TB_LICITACOES-2022.csv;material de manutenção;1.0;False;0.0;2022;51;unioeste foz-universidade estadual do oeste do parana - campus foz do iguacu;Foz do Iguaçu;297352.0;0.732;outros;0.31614555166090497;0.5097473848420481;0.02574280188919031;Suspeita Moderada;True;lead_time_log1p;1.92;Prazo Processual Atípico;prazo atípico;R$ 975,100;R$ 975,100;1.00×;—
1168;2021;Pregão Eletrônico;Homologado;Registro  de  Preços,  por  um  período  de  12  meses,  para  futura  e eventual  aquisição  de  HORTIFRUTIGRANJEIROS  para  o  atendimento  dos  órgãos  e entidades  sediados em Maringá, Campo Mourão, Cianorte, Colorado, Cruzeiro do Oeste, Loanda, Paranavaí e Umuarama. ;DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM);Maior Desconto;98994714.0;1400.0;2021-11-25;2021-12-06;TB_LICITACOES-2021.csv;registro de preços, por um período de 12 meses, para futura e eventual aquisição de hortifrutigranjeiros para o atendimento dos órgãos e entidades sediados em maringá, campo mourão, cianorte, colorado, cruzeiro do oeste, loanda, paranavaí e umuarama.;1.4142169247541843e-05;False;11.0;2021;245;decon-departamento de logistica para contratacoes publicas (antigo deam);;;;alimentacao;0.31594166502320986;0.5039086798625118;0.03399114276425709;Suspeita Moderada;True;desconto_pct;2.94;Desconto Atípico;desconto de 100%;R$ 98,994,714;R$ 1,400;0.00×;11 dias
904;2023;Pregão Eletrônico;Homologado;"CONTRATAÇÃO PARA O FORNECIMENTO PARCELADO DE NITROGENIO LIQUIDO E GÁS REFRIGERANTE R22 PARA ATENDER O RESTAURANTE UNIVERSITÁRIO-UEL E HOSPITAL UNIVERSITÁRIO DE LONDRINA.
";UEL-Universidade Estadual de Londrina;Menor Preço;2676812.0;275280.0;2023-09-20;2023-10-16;TB_LICITACOES-2023.csv;contratação para o fornecimento parcelado de nitrogenio liquido e gás refrigerante r22 para atender o restaurante universitário-uel e hospital universitário de londrina.;0.10283874997571739;False;26.0;2023;377;uel-universidade estadual de londrina;Londrina;581382.0;0.725;saude;0.315933967834779;0.5063765281209284;0.030270127405555066;Suspeita Moderada;True;desconto_pct;2.62;Desconto Atípico;desconto de 90%;R$ 2,676,812;R$ 275,280;0.10×;26 dias
740;2024;Pregão Eletrônico (Lei Federal 14.133/2021);Cancelado;Registro de Preços, por um período de 1 ano, podendo ser prorrogado por igual período, desde que comprovado o preço vantajoso, para futura e eventual contratação de empresa especializada no fornecimento e instalação do sistema de piso modular esportivo de polipropileno, destinado tanto a áreas externas outdoor quanto internas indoor, compreendendo elementos como rodapés, rampas de acabamento, cantoneiras, linhas demarcatórias de modalidades futsal, basquete, vôlei, handebol, furos para os mastros de vôlei, mão de obra de instalação, fretes e demais encargos. A prestação dos serviços abrangerá 480.000 quatrocentos e oitenta mil metros quadrados de piso distribuídos em diversas unidades escolares nos municípios do Estado do Paraná, divididos em 10 dez lotes;FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional;Maior Desconto;18240000000.0;;;;TB_LICITACOES-2024.csv;registro de preços, por um período de 1 ano, podendo ser prorrogado por igual período, desde que comprovado o preço vantajoso, para futura e eventual contratação de empresa especializada no fornecimento e instalação do sistema de piso modular esportivo de polipropileno, destinado tanto a áreas externas outdoor quanto internas indoor, compreendendo elementos como rodapés, rampas de acabamento, cantoneiras, linhas demarcatórias de modalidades futsal, basquete, vôlei, handebol, furos para os mastros de vôlei, mão de obra de instalação, fretes e demais encargos. a prestação dos serviços abrangerá 480.000 quatrocentos e oitenta mil metros quadrados de piso distribuídos em diversas unidades escolares nos municípios do estado do paraná, divididos em 10 dez lotes;;False;;0;1;fundepar-instituto paranaense de desenvolvimento educacional;;;;obras;0.3157870818913486;0.42676364883677276;0.14932223147321233;Suspeita Moderada;True;volume_orgao_ano_log1p;2.86;Volume Anual Atípico;volume de licitações atípico;R$ 18,240,000,000;—;—;—
265;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Publicado;Contratação do Plano de Proteção Ambiental e Reordenamento Territorial PPART das Unidades Territoriais de Planejamento do Guarituba, Itaqui, Pinhais e Quatro Barras, localizadas na Região Metropolitana de Curitiba/PR.;AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);Técnica e Preço;413120700.0;;2025-09-25;;TB_LICITACOES-2024.csv;contratação do plano de proteção ambiental e reordenamento territorial ppart das unidades territoriais de planejamento do guarituba, itaqui, pinhais e quatro barras, localizadas na região metropolitana de curitiba/pr.;;False;;2025;6;amep-agencia de assuntos metropolitanos do parana (antigo comec);;;;outros;0.3157834940070666;0.4931507915918292;0.04973254762992274;Suspeita Moderada;True;volume_orgao_ano_log1p;1.98;Volume Anual Atípico;volume de licitações atípico;R$ 413,120,700;—;—;—
12;2025;Leilão;Fase Certame;2025LEL002 - RECICLAGEM;DETRAN-Departamento de Trânsito do Estado do Paraná;Maior Lance;;;2025-09-03;;TB_LICITACOES-2025.csv;2025lel002 - reciclagem;;False;;2025;9;detran-departamento de transito do estado do parana;;;;outros;0.31556977309326295;0.5160921344097412;0.014786231118545556;Suspeita Moderada;True;valor_estimado_log1p;6.61;Valor Estimado Atípico;valor atípico;—;—;—;—
1492;2022;Pregão Eletrônico;Homologado;Contratação da empresa para fornecimento de ração peletizada para alimentação de roedores e de maravalha de Pinus elliottii sem pó, sem odor, sem contaminantes químicos, para serem utilizados como cama forração em caixas de ratos e de camundongos para atender a demanda de pesquisas e aulas na Unioeste Campus de Cascavel.;UNIOESTE CASC-Universidade Estadual do Oeste do Paraná - Campus Cascavel;Menor Preço;15266300.0;12084998.0;2022-09-14;2022-09-16;TB_LICITACOES-2022.csv;contratação da empresa para fornecimento de ração peletizada para alimentação de roedores e de maravalha de pinus elliottii sem pó, sem odor, sem contaminantes químicos, para serem utilizados como cama forração em caixas de ratos e de camundongos para atender a demanda de pesquisas e aulas na unioeste campus de cascavel.;0.7916127679922443;False;2.0;2022;35;unioeste casc-universidade estadual do oeste do parana - campus cascavel;Cascavel;368195.0;0.713;alimentacao;0.31549717768190216;0.5191487306436874;0.010019848239224426;Suspeita Moderada;True;gasto_per_capita_log1p;3.75;Gasto per Capita Atípico;gasto per capita muito alto;R$ 15,266,300;R$ 12,084,998;0.79×;2 dias
1148;2020;Pregão Eletrônico;Homologado;Contratação de empresa especializada na prestação de serviços de asseio e conservação e outros postos;DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM);Menor Preço;39415857840.0;2802819204.0;2021-12-16;2022-02-23;TB_LICITACOES-2020.csv;contratação de empresa especializada na prestação de serviços de asseio e conservação e outros postos;0.07110892309834858;False;69.0;2021;245;decon-departamento de logistica para contratacoes publicas (antigo deam);;;;servicos;0.315421531034828;0.48626998160438295;0.05914885518049551;Suspeita Moderada;True;valor_estimado_log1p;2.74;Valor Estimado Atípico;R$ 39,415,857,840 estimado;R$ 39,415,857,840;R$ 2,802,819,204;0.07×;69 dias
1148;2020;Pregão Eletrônico;Homologado;Contratação de empresa especializada na prestação de serviços de asseio e conservação e outros postos;DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM);Menor Preço;39415857840.0;2802819204.0;2021-12-16;2022-02-23;TB_LICITACOES-2020.csv;contratação de empresa especializada na prestação de serviços de asseio e conservação e outros postos;0.07110892309834858;False;69.0;2021;245;decon-departamento de logistica para contratacoes publicas (antigo deam);;;;servicos;0.315421531034828;0.48626998160438295;0.05914885518049551;Suspeita Moderada;True;valor_estimado_log1p;2.74;Valor Estimado Atípico;R$ 39,415,857,840 estimado;R$ 39,415,857,840;R$ 2,802,819,204;0.07×;69 dias
2371;2022;Pregão Eletrônico;Fase Certame;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE MATERIAIS E.P.I.S PELO PERÍODO DE 6 MESES, PODENDO SER PRORROGADO NA FORMA LEGAL;UEM-Universidade Estadual de Maringá;Menor Preço;157947000.0;;2022-12-07;;TB_LICITACOES-2022.csv;contratação de empresa especializada para fornecimento de materiais e.p.i.s pelo período de 6 meses, podendo ser prorrogado na forma legal;;False;;2022;161;uem-universidade estadual de maringa;Maringá;429660.0;0.681;servicos;0.31542000226343747;0.49808622783475937;0.041420663906454616;Suspeita Moderada;True;gasto_per_capita_log1p;5.91;Gasto per Capita Atípico;gasto per capita muito alto;R$ 157,947,000;—;—;—
90;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratação de empresa especializada em serviços de engenharia para retomada e conclusão da obra do Colégio Estadual Ângelo Volpato, situado na Rua João Valle,  23, Santa Felicidade, fone 41 3297-2857, no Município de Curitiba, Estado do Paraná.;FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional;Maior Desconto;193575721.0;;2024-01-09;2024-02-21;TB_LICITACOES-2023.csv;contratação de empresa especializada em serviços de engenharia para retomada e conclusão da obra do colégio estadual ângelo volpato, situado na rua joão valle, 23, santa felicidade, fone 41 3297-2857, no município de curitiba, estado do paraná.;;False;43.0;2024;56;fundepar-instituto paranaense de desenvolvimento educacional;;;;obras;0.3153764816210377;0.4794683607770931;0.06923866288695468;Suspeita Moderada;True;valor_estimado_log1p;0.7;Valor Estimado Atípico;R$ 193,575,721 estimado;R$ 193,575,721;—;—;43 dias
2236;2024;Pregão Eletrônico (Lei Federal 14.133/2021);Homologado;"Aquisição parcelada, por meio de ata de registro de preços, de Mini Desktop, notebooks 
corporativos, monitores, Workstation corporativo, Workstation Engenharia, Workstation 
Apple com Monitor Pro Display XDR, Workstation Apple com Monitor Studio Display e 
iPad Pro 13 com acessórios, conforme requisitos técnicos constantes neste Termo de 
Referência";TCEPR-Tribunal do Contas do Estado do Paraná;Menor Preço;2973458236.0;1676054886.0;2025-01-22;2025-07-02;TB_LICITACOES-2024.csv;aquisição parcelada, por meio de ata de registro de preços, de mini desktop, notebooks corporativos, monitores, workstation corporativo, workstation engenharia, workstation apple com monitor pro display xdr, workstation apple com monitor studio display e ipad pro 13 com acessórios, conforme requisitos técnicos constantes neste termo de referência;0.5636719109445733;False;161.0;2025;6;tcepr-tribunal do contas do estado do parana;;;;tecnologia;0.3153752488620818;0.4734197756249459;0.07830845871778572;Suspeita Moderada;True;volume_orgao_ano_log1p;1.98;Volume Anual Atípico;volume de licitações atípico;R$ 2,973,458,236;R$ 1,676,054,886;0.56×;161 dias
1292;2025;Pregão Eletrônico (Lei Federal 14.133/2021);Fase Certame;Contratação de empresa especializada para prestação de serviços de locação de solução completa e integrada para processamento de formulários incluindo cessão de direito de uso de software fornecimento de equipamentos e suporte técnico pelo período de 60 meses compreendendo no mínimo 02 scanners de produção para digitalização de documentos monocromáticos e coloridos 02 computadores e demais equipamentos necessários ao atendimento da demanda da Coordenadoria de Processos de Seleção CPS da Universidade Estadual de Ponta Grossa.;UEPG-Universidade Estadual de Ponta Grossa;Menor Preço;48917400.0;;2025-09-19;;TB_LICITACOES-2025.csv;contratação de empresa especializada para prestação de serviços de locação de solução completa e integrada para processamento de formulários incluindo cessão de direito de uso de software fornecimento de equipamentos e suporte técnico pelo período de 60 meses compreendendo no mínimo 02 scanners de produção para digitalização de documentos monocromáticos e coloridos 02 computadores e demais equipamentos necessários ao atendimento da demanda da coordenadoria de processos de seleção cps da universidade estadual de ponta grossa.;;False;;2025;14;uepg-universidade estadual de ponta grossa;Ponta Grossa;375632.0;0.705;tecnologia;0.3153739387651014;0.5167679887650974;0.013282863765107372;Suspeita Moderada;True;gasto_per_capita_log1p;4.88;Gasto per Capita Atípico;gasto per capita muito alto;R$ 48,917,400;—;—;—
352;2022;Pregão Eletrônico;Deserto;REGISTRO DE PREÇOS DE ORTESES E PROTESES PARA CIRURGIA PLASTICA CTQ, TABELA SUS, PARA ATENDER O HOSPITAL UNIVERSITÁRIO DE LONDRINA, PELO PERÍODO DE 12 MESES;UEL-Universidade Estadual de Londrina;Menor Preço;1994160.0;;2022-04-08;;TB_LICITACOES-2022.csv;registro de preços de orteses e proteses para cirurgia plastica ctq, tabela sus, para atender o hospital universitário de londrina, pelo período de 12 meses;;False;;2022;20;uel-universidade estadual de londrina;Londrina;581382.0;0.725;saude;0.3153672767153148;0.47483563125894346;0.07616474489987174;Suspeita Moderada;True;lead_time_log1p;1.92;Prazo Processual Atípico;prazo atípico;R$ 1,994,160;—;—;—
1352;2021;Pregão Eletrônico;Homologado;Registro de Preço para provável compra de Microscópio trinocular mais Câmera Digital;UNIOESTE FOZ-Universidade Estadual do Oeste do Paraná - Campus Foz do Iguaçu;Menor Preço;1032034.0;679000.0;2021-11-09;2021-11-10;TB_LICITACOES-2021.csv;registro de preço para provável compra de microscópio trinocular mais câmera digital;0.657924060641413;False;1.0;2021;13;unioeste foz-universidade estadual do oeste do parana - campus foz do iguacu;Foz do Iguaçu;297352.0;0.732;outros;0.3152838752529838;0.5116447922844545;0.0207424997057778;Suspeita Moderada;True;gasto_per_capita_log1p;1.5;Gasto per Capita Atípico;gasto per capita muito alto;R$ 1,032,034;R$ 679,000;0.66×;1 dias
104;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratação de empresa de engenharia para Elaboração de Projeto de Instalações Elétricas e de Lógica, Projeto Técnico de Prevenção a Incêndios e Desastres PTPID, para o DER - Escritório Regional Entre Rios, com área de 2.000,45 m2 dois mil metros quadrados e quarenta e cinco decímetros quadrados, situado à Av. Lindolfo Monteiro, n 1.081, Cruzeiro do Oeste, Pr. ;DER-Departamento de Estradas de Rodagem do Estado do Paraná;Menor Preço;5590126.0;;2024-01-05;2024-03-04;TB_LICITACOES-2023.csv;contratação de empresa de engenharia para elaboração de projeto de instalações elétricas e de lógica, projeto técnico de prevenção a incêndios e desastres ptpid, para o der - escritório regional entre rios, com área de 2.000,45 m2 dois mil metros quadrados e quarenta e cinco decímetros quadrados, situado à av. lindolfo monteiro, n 1.081, cruzeiro do oeste, pr.;;False;59.0;2024;73;der-departamento de estradas de rodagem do estado do parana;;;;servicos;0.3151580932140446;0.48808867417487556;0.05576222177279821;Suspeita Moderada;True;proporcao_hom_est;0.68;Relação Valor Anômala;relação anômala;R$ 5,590,126;—;—;59 dias
13;2023;Convite;Homologado;CONFECÇÃO E INSTALAÇÃO DE DIVISÓRIAS EM ACRILICO E ESQUADRIAS DE ALUMUINIO DA NOVA PORTARIA DO HOSPITAL UNIVERSITÁRIO DE LONDRINA.;UEL-Universidade Estadual de Londrina;Menor Preço;3190000.0;2850000.0;2023-08-15;2023-08-03;TB_LICITACOES-2023.csv;confecção e instalação de divisórias em acrilico e esquadrias de alumuinio da nova portaria do hospital universitário de londrina.;0.8934169278996865;False;0.0;2023;377;uel-universidade estadual de londrina;Londrina;581382.0;0.725;saude;0.3150605988793032;0.49329557474068697;0.04770813508722762;Suspeita Moderada;True;lead_time_log1p;1.92;Prazo Processual Atípico;prazo atípico;R$ 3,190,000;R$ 2,850,000;0.89×;—
1171;2023;Pregão Eletrônico;Homologado;Aquisição de Veículo Utilitário cabine simples para atender o Ensino, Pesquisa e Extensão da UNIOESTE  Campus de Marechal Cândido Rondon;UNIOESTE MCROND-Universidade Estadual do Oeste do Paraná - Campus Marechal Cândido Rondon;Menor Preço;12223067.0;10900000.0;2023-10-26;2023-11-16;TB_LICITACOES-2023.csv;aquisição de veículo utilitário cabine simples para atender o ensino, pesquisa e extensão da unioeste campus de marechal cândido rondon;0.8917565452271513;False;21.0;2023;28;unioeste mcrond-universidade estadual do oeste do parana - campus marechal candido rondon;Marechal Cândido Rondon;58734.0;0.688;educacao;0.314914430316315;0.5163328365673623;0.012786820939744153;Suspeita Moderada;True;gasto_per_capita_log1p;5.34;Gasto per Capita Atípico;gasto per capita muito alto;R$ 12,223,067;R$ 10,900,000;0.89×;21 dias
32;2025;Licitação Eletrônica - Estatal;Fracassado;Registro de preços para futura e eventual contratação de SERVIÇOS GRÁFICOS.;COHAPAR-Companhia de Habitação do Paraná;Menor Preço;;;2025-05-07;;TB_LICITACOES-2025.csv;registro de preços para futura e eventual contratação de serviços gráficos.;;False;;2025;38;cohapar-companhia de habitacao do parana;;;;servicos;0.3146638538930607;0.5157969612701769;0.01296419282738629;Suspeita Moderada;True;valor_estimado_log1p;6.61;Valor Estimado Atípico;valor atípico;—;—;—;—
413;2025;Pregão Eletrônico (Lei Federal 14.133/2021);Homologado;Contratação de empresa especializada na prestação de serviço de fornecimento de refeições leves, tipo Coffee Break, para os eventos da Unioeste/Campus Marechal Cândido Rondon;UNIOESTE MCROND-Universidade Estadual do Oeste do Paraná - Campus Marechal Cândido Rondon;Menor Preço;13554000.0;13450200.0;2025-05-06;2025-05-12;TB_LICITACOES-2025.csv;contratação de empresa especializada na prestação de serviço de fornecimento de refeições leves, tipo coffee break, para os eventos da unioeste/campus marechal cândido rondon;0.9923417441345728;False;6.0;2025;23;unioeste mcrond-universidade estadual do oeste do parana - campus marechal candido rondon;Marechal Cândido Rondon;58734.0;0.688;servicos;0.31452594369600423;0.5115349296768521;0.019012464724732447;Suspeita Moderada;True;gasto_per_capita_log1p;5.45;Gasto per Capita Atípico;gasto per capita muito alto;R$ 13,554,000;R$ 13,450,200;0.99×;6 dias
295;2024;Pregão Eletrônico (Lei Federal 14.133/2021);Homologado;Aquisição de bobinas de papel térmico e etiquetas patrimoniais para atender às necessidades da Polícia Militar do Paraná;PMPR-CGPM-Comando Geral da Polícia Militar - SESP;Menor Preço;6979156.0;1050000.0;2024-08-01;2025-04-09;TB_LICITACOES-2024.csv;aquisição de bobinas de papel térmico e etiquetas patrimoniais para atender às necessidades da polícia militar do paraná;0.1504479911324521;False;251.0;2024;8;pmpr-cgpm-comando geral da policia militar - sesp;;;;seguranca;0.3145152338457217;0.4858102780559503;0.05757266753037891;Suspeita Moderada;True;desconto_pct;2.46;Desconto Atípico;desconto de 85%;R$ 6,979,156;R$ 1,050,000;0.15×;251 dias
200;2022;Pregão Eletrônico;Cancelado;"Aquisição de material de higiene e limpeza para atender a demanda da PARANAPREVIDÊNCIA, conforme condições, quantidades e exigências estabelecidas neste Edital e seus Anexos.
";PRPREV-Serviço Social Autônomo PARANAPREVIDENCIA;Menor Preço;;;2022-03-10;;TB_LICITACOES-2022.csv;aquisição de material de higiene e limpeza para atender a demanda da paranaprevidência, conforme condições, quantidades e exigências estabelecidas neste edital e seus anexos.;;False;;2022;24;prprev-servico social autonomo paranaprevidencia;;;;limpeza;0.3144946167758184;0.5149429310689796;0.013822145336076628;Suspeita Moderada;True;valor_estimado_log1p;6.61;Valor Estimado Atípico;valor atípico;—;—;—;—
6;2024;Leilão;Fase Certame;2024LEL003 - Circulação;DETRAN-Departamento de Trânsito do Estado do Paraná;Maior Lance;;;2024-04-04;;TB_LICITACOES-2024.csv;2024lel003 - circulação;;False;;2024;14;detran-departamento de transito do estado do parana;;;;outros;0.31436529341082736;0.5114057699267488;0.01880457863694521;Suspeita Moderada;True;valor_estimado_log1p;6.61;Valor Estimado Atípico;valor atípico;—;—;—;—
691;2023;Pregão Eletrônico;Homologado;CONTRATAÇÃO PARA O FORNECIMENTO PARCELADO DE MATERIAL MEDICO HOSPITALAR PARA OFTALMO DIVERSOS PARA ATENDER O HOSPITAL UNIVERSITÁRIO DE LONDRINA;UEL-Universidade Estadual de Londrina;Menor Preço;12669485.0;1177200.0;2023-05-26;2023-08-23;TB_LICITACOES-2023.csv;contratação para o fornecimento parcelado de material medico hospitalar para oftalmo diversos para atender o hospital universitário de londrina;0.0929161682578258;False;89.0;2023;377;uel-universidade estadual de londrina;Londrina;581382.0;0.725;saude;0.31431790067373094;0.5036737062161079;0.03028419236016561;Suspeita Moderada;True;gasto_per_capita_log1p;3.13;Gasto per Capita Atípico;gasto per capita muito alto;R$ 12,669,485;R$ 1,177,200;0.09×;89 dias
39;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratação Integrada de Empresa para Elaboração dos Projetos Básico e Executivo e Execução das Obras de Implantação do Trevo de Acesso ao Hospital Regional de Cornélio Procópio e Melhorias na PR-160, numa extensão de 0,54 km.;DER-Departamento de Estradas de Rodagem do Estado do Paraná;Menor Preço;100.0;1465000000.0;2025-07-18;2025-09-12;TB_LICITACOES-2025.csv;contratação integrada de empresa para elaboração dos projetos básico e executivo e execução das obras de implantação do trevo de acesso ao hospital regional de cornélio procópio e melhorias na pr-160, numa extensão de 0,54 km.;;False;56.0;2025;88;der-departamento de estradas de rodagem do estado do parana;;;;obras;0.31430968836425444;0.5026325561899159;0.031825386625762356;Suspeita Moderada;True;valor_estimado_log1p;4.84;Valor Estimado Atípico;R$ 100 estimado;R$ 100;R$ 1,465,000,000;—;56 dias
